[11:34:43] [Server thread/INFO]: Starting minecraft server version 1.15.1
[11:34:43] [Server thread/INFO]: Loading properties
[11:34:43] [Server thread/INFO]: Default game type: SURVIVAL
[11:34:43] [Server thread/INFO]: Generating keypair
[11:34:45] [Server thread/INFO]: Starting Minecraft server on *:25565
[11:34:45] [Server thread/INFO]: Using default channel type
[11:34:48] [Server thread/INFO]: This server is running CraftBukkit version git-Bukkit-2d9db47 (MC: 1.15.1) (Implementing API version 1.15.1-R0.1-SNAPSHOT)
[11:34:50] [Server thread/INFO]: Preparing level "world"
[11:34:51] [Server thread/INFO]: Found new data pack file/bukkit, loading it automatically
[11:34:51] [Server thread/INFO]: Found new data pack vanilla, loading it automatically
[11:34:51] [Server thread/INFO]: Reloading ResourceManager: Default, bukkit
[11:36:35] [Server thread/INFO]: Loaded 6 recipes
[11:37:08] [Server thread/INFO]: Preparing start region for dimension 'world'/minecraft:overworld
[11:37:09] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[11:37:09] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:09] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:37:10] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:37:10] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:10] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:37:11] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:37:11] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:37:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:12] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:13] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:13] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:14] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[11:37:14] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[11:37:15] [Server-Worker-3/INFO]: Preparing spawn area: 0%
[11:37:15] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:16] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:16] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:17] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:17] [Server-Worker-1/INFO]: Preparing spawn area: 0%
[11:37:18] [Server-Worker-2/INFO]: Preparing spawn area: 0%
[11:37:18] [Server-Worker-2/INFO]: Preparing spawn area: 1%
[11:37:19] [Server-Worker-2/INFO]: Preparing spawn area: 1%
[11:37:19] [Server-Worker-2/INFO]: Preparing spawn area: 2%
[11:37:20] [Server-Worker-2/INFO]: Preparing spawn area: 2%
[11:37:20] [Server-Worker-2/INFO]: Preparing spawn area: 2%
[11:37:21] [Server-Worker-2/INFO]: Preparing spawn area: 2%
[11:37:21] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[11:37:22] [Server-Worker-2/INFO]: Preparing spawn area: 2%
[11:37:22] [Server-Worker-2/INFO]: Preparing spawn area: 2%
[11:37:23] [Server-Worker-2/INFO]: Preparing spawn area: 2%
[11:37:23] [Server-Worker-2/INFO]: Preparing spawn area: 2%
[11:37:24] [Server-Worker-1/INFO]: Preparing spawn area: 2%
[11:37:24] [Server-Worker-3/INFO]: Preparing spawn area: 2%
[11:37:25] [Server-Worker-2/INFO]: Preparing spawn area: 4%
[11:37:25] [Server-Worker-2/INFO]: Preparing spawn area: 4%
[11:37:26] [Server-Worker-1/INFO]: Preparing spawn area: 4%
[11:37:26] [Server-Worker-2/INFO]: Preparing spawn area: 5%
[11:37:27] [Server-Worker-2/INFO]: Preparing spawn area: 5%
[11:37:27] [Server-Worker-2/INFO]: Preparing spawn area: 5%
[11:37:28] [Server-Worker-3/INFO]: Preparing spawn area: 5%
[11:37:28] [Server-Worker-2/INFO]: Preparing spawn area: 5%
[11:37:29] [Server-Worker-3/INFO]: Preparing spawn area: 6%
[11:37:29] [Server-Worker-1/INFO]: Preparing spawn area: 6%
[11:37:30] [Server-Worker-3/INFO]: Preparing spawn area: 6%
[11:37:30] [Server-Worker-3/INFO]: Preparing spawn area: 6%
[11:37:31] [Server-Worker-3/INFO]: Preparing spawn area: 6%
[11:37:31] [Server-Worker-3/INFO]: Preparing spawn area: 6%
[11:37:32] [Server-Worker-3/INFO]: Preparing spawn area: 6%
